Acc_Index	Vehicle_Reference	Casualty_Reference	Casualty_Class	Sex_of_Casualty	Age_Band_of_Casualty	Casualty_Severity	Pedestrian_Location	Pedestrian_Movement	Car_Passenger	Bus_or_Coach_Passenger	Pedestrian_Road_Maintenance_Worker	Casualty_Type	Casualty_Home_Area_Type	Accident_Index	Location_Easting_OSGR	Location_Northing_OSGR	Longitude	Latitude	Police_Force	Accident_Severity	Number_of_Vehicles	Number_of_Casualties	Date	Day_of_Week	Time	Local_Authority_(District)	Local_Authority_(Highway)	1st_Road_Class	1st_Road_Number	Road_Type	Speed_limit	Junction_Detail
2016051600180	1	1	3	1  (Male)	11  (Over 75)	2  (Serious)	8	7	0	0	0	0  (Pedestrian)	1	2016051600180	332432	400171	-3.018587	53.493649	5  (Merseyside)	2	1	1	05/01/2016	3	13:10	93	E08000014  (Sefton)	6	0	6	30	6
2016051600182	1	1	3	2  (Female)	03  (11 - 15)	2  (Serious)	1	1	0	0	0	0  (Pedestrian)	1	2016051600182	351921	392884	-2.723707	53.43029	5  (Merseyside)	2	1	1	15/01/2016	6	15:05	92	E08000013  (St. Helens)	3	569	3	40	0
2016051600204	1	1	1	2  (Female)	06  (26 - 35)	2  (Serious)	0	0	0	0	0	9  ('Car occupant')	2	2016051600204	346250	384659	-2.80766	53.35581	5  (Merseyside)	2	1	3	17/01/2016	1	09:40	90	E08000011  (Knowsley)	3	562	6	40	0
2016051600229	2	1	1	1  (Male)	06  (26 - 35)	2  (Serious)	0	0	0	0	0	5  ('Motorcyclist')	1	2016051600229	335200	394885	-2.975776	53.446486	5  (Merseyside)	2	2	1	18/01/2016	2	16:45	93	E08000014  (Sefton)	3	5038	3	30	0
2016051600230	2	1	1	1  (Male)	08  (46 - 55)	2  (Serious)	0	0	0	0	0	5  ('Motorcyclist')	1	2016051600230	330073	390996	-3.052103	53.410876	5  (Merseyside)	2	2	1	18/01/2016	2	17:20	95	E08000015  (Wirral)	3	5139	6	30	1
2016051600240	2	1	1	1  (Male)	08  (46 - 55)	2  (Serious)	0	0	0	0	0	5  ('Motorcyclist')	1	2016051600240	339608	402431	-2.91086	53.514836	5  (Merseyside)	2	2	1	19/01/2016	3	07:40	93	E08000014  (Sefton)	6	0	6	30	3
2016051600258	1	1	1	1  (Male)	05  (21 - 25)	2  (Serious)	0	0	0	0	0	9  ('Car occupant')	1	2016051600258	338361	391263	-2.927475	53.414309	5  (Merseyside)	2	1	2	20/01/2016	4	03:50	91	E08000012  (Liverpool)	3	57	6	30	0
2016051600258	1	2	2	2  (Female)	05  (21 - 25)	2  (Serious)	0	0	1	0	0	9  ('Car occupant')	1	2016051600258	338361	391263	-2.927475	53.414309	5  (Merseyside)	2	1	2	20/01/2016	4	03:50	91	E08000012  (Liverpool)	3	57	6	30	0
2016051600271	1	1	3	1  (Male)	06  (26 - 35)	2  (Serious)	5	1	0	0	0	0  (Pedestrian)	1	2016051600271	336939	391839	-2.948984	53.419318	5  (Merseyside)	2	1	1	21/01/2016	5	19:49	91	E08000012  (Liverpool)	3	5049	3	30	0
2016051600274	1	1	3	1  (Male)	06  (26 - 35)	2  (Serious)	5	3	0	0	0	0  (Pedestrian)	1	2016051600274	338116	387953	-2.930512	53.384529	5  (Merseyside)	2	1	1	21/01/2016	5	17:46	91	E08000012  (Liverpool)	6	0	6	20	3
2016051600277	2	1	1	1  (Male)	08  (46 - 55)	2  (Serious)	0	0	0	0	0	1  (Cyclist)	-1	2016051600277	352098	393600	-2.721152	53.436742	5  (Merseyside)	2	2	1	22/01/2016	6	07:00	92	E08000013  (St. Helens)	6	0	1	30	1
2016051600278	1	1	3	1  (Male)	11  (Over 75)	2  (Serious)	10	3	0	0	0	0  (Pedestrian)	1	2016051600278	337170	390045	-2.94515	53.403221	5  (Merseyside)	2	1	1	21/01/2016	5	19:46	91	E08000012  (Liverpool)	6	0	6	20	0
2016051600279	1	1	3	2  (Female)	09  (56 - 65)	2  (Serious)	5	1	0	0	0	0  (Pedestrian)	1	2016051600279	336616	387556	-2.952983	53.380783	5  (Merseyside)	2	1	1	22/01/2016	6	12:45	91	E08000012  (Liverpool)	3	561	3	20	5
2016051600294	1	1	1	1  (Male)	07  (36 - 45)	2  (Serious)	0	0	0	0	0	3  ('Motorcyclist')	1	2016051600294	329124	387944	-3.065693	53.383318	5  (Merseyside)	2	2	1	23/01/2016	7	16:52	95	E08000015  (Wirral)	6	0	6	30	3
2016051600327	2	1	1	1  (Male)	05  (21 - 25)	2  (Serious)	0	0	0	0	0	1  (Cyclist)	1	2016051600327	334399	394780	-2.987814	53.445443	5  (Merseyside)	2	2	1	25/01/2016	2	09:05	93	E08000014  (Sefton)	3	5058	3	30	6
2016051600330	2	1	1	1  (Male)	05  (21 - 25)	2  (Serious)	0	0	0	0	0	3  ('Motorcyclist')	1	2016051600330	352417	395627	-2.716656	53.454992	5  (Merseyside)	2	2	1	26/01/2016	3	14:00	92	E08000013  (St. Helens)	6	0	6	30	6
2016051600341	1	1	1	1  (Male)	07  (36 - 45)	2  (Serious)	0	0	0	0	0	9  ('Car occupant')	1	2016051600341	334517	384056	-2.983812	53.349067	5  (Merseyside)	2	1	1	02/01/2016	7	22:57	95	E08000015  (Wirral)	6	0	6	30	0
2016051600349	2	2	1	2  (Female)	06  (26 - 35)	2  (Serious)	0	0	0	0	0	1  (Cyclist)	1	2016051600349	327571	391475	-3.08985	53.414844	5  (Merseyside)	2	2	1	25/01/2016	2	09:55	95	E08000015  (Wirral)	6	0	6	30	3
2016051600361	1	2	3	2  (Female)	09  (56 - 65)	2  (Serious)	5	1	0	0	0	0  (Pedestrian)	1	2016051600361	338480	397024	-2.926811	53.466105	5  (Merseyside)	2	1	2	28/01/2016	5	18:30	91	E08000012  (Liverpool)	6	0	6	30	0
2016051600362	1	1	3	1  (Male)	04  (16 - 20)	2  (Serious)	5	3	0	0	0	0  (Pedestrian)	1	2016051600362	334811	390171	-2.980657	53.404067	5  (Merseyside)	2	1	1	23/01/2016	7	02:50	91	E08000012  (Liverpool)	4	5339	6	30	3
2016051600374	2	1	1	1  (Male)	06  (26 - 35)	2  (Serious)	0	0	0	0	0	4  ('Motorcyclist')	1	2016051600374	347208	390447	-2.794234	53.407934	5  (Merseyside)	2	2	1	28/01/2016	5	17:20	90	E08000011  (Knowsley)	6	0	6	30	3
2016051600375	2	1	1	1  (Male)	07  (36 - 45)	2  (Serious)	0	0	0	0	0	3  ('Motorcyclist')	1	2016051600375	344909	385310	-2.827921	53.361524	5  (Merseyside)	2	2	2	29/01/2016	6	15:10	90	E08000011  (Knowsley)	6	0	6	30	3
2016051600384	2	1	1	1  (Male)	07  (36 - 45)	2  (Serious)	0	0	0	0	0	5  ('Motorcyclist')	1	2016051600384	338465	393474	-2.926342	53.434195	5  (Merseyside)	2	2	1	18/01/2016	2	21:45	91	E08000012  (Liverpool)	6	0	3	40	3
2016051600385	2	1	1	1  (Male)	04  (16 - 20)	2  (Serious)	0	0	0	0	0	3  ('Motorcyclist')	1	2016051600385	335812	394443	-2.966472	53.442588	5  (Merseyside)	2	2	1	29/01/2016	6	21:06	91	E08000012  (Liverpool)	6	0	2	20	0
2016051600390	1	1	3	1  (Male)	07  (36 - 45)	2  (Serious)	6	9	0	0	0	0  (Pedestrian)	1	2016051600390	332324	390476	-3.018129	53.406496	5  (Merseyside)	2	1	1	30/01/2016	7	12:05	95	E08000015  (Wirral)	3	554	6	30	0
2016051600398	2	1	2	2  (Female)	09  (56 - 65)	2  (Serious)	0	0	0	3	0	11	1	2016051600398	340526	384443	-2.893618	53.353256	5  (Merseyside)	2	2	1	23/01/2016	7	12:10	91	E08000012  (Liverpool)	6	0	6	30	0
2016051600399	1	2	2	2  (Female)	07  (36 - 45)	2  (Serious)	0	0	1	0	0	9  ('Car occupant')	1	2016051600399	344845	392896	-2.830209	53.429705	5  (Merseyside)	2	2	2	30/01/2016	7	15:34	90	E08000011  (Knowsley)	1	57	3	70	0
2016051600403	1	1	3	2  (Female)	03  (11 - 15)	2  (Serious)	5	1	0	0	0	0  (Pedestrian)	1	2016051600403	326983	389142	-3.098155	53.393794	5  (Merseyside)	2	1	1	31/01/2016	1	13:30	95	E08000015  (Wirral)	6	0	6	30	9
2016051600415	1	1	3	1  (Male)	05  (21 - 25)	2  (Serious)	5	4	0	0	0	0  (Pedestrian)	1	2016051600415	332413	397510	-3.018301	53.46973	5  (Merseyside)	2	1	1	01/02/2016	2	17:20	93	E08000014  (Sefton)	3	565	3	30	6
